episode_id,x_i,y_i,z_i,x_final,y_final,z_final,time_to_land,success,total_reward,n_transitions,n_hard,landing_error,terminal_reward,final_roll,final_pitch,final_yaw
3,-75.3521,76.586,90.0,-75.536,76.6031,88.1641,3.0741,Success,56.7413,1028,214,4.7432,35.0,-0.001533,0.004247,-5e-06
4,-78.9258,69.1993,70.0,-79.1097,69.2133,68.2515,3.0731,Success,276.1971,964,116,5.8548,35.0,-0.001036,0.004264,1.8e-05
5,-83.7506,67.5461,90.0,-83.9345,67.5598,88.2053,3.0707,Success,-15.3461,793,263,8.4164,20.0,-0.001251,0.004253,2e-06
6,-78.9599,82.9745,70.0,-79.1444,82.9859,68.3414,3.0747,Success,43.0713,1049,164,8.0316,20.0,-0.000905,0.004278,1.7e-05
7,-73.7723,77.0479,80.0,-73.9561,77.0608,78.2011,3.072,Success,-24.0676,798,526,6.3855,35.0,-0.001174,0.004256,3e-06
8,-89.7032,74.9921,70.0,-89.8873,75.0071,68.3377,3.0712,Success,47.582,883,140,9.8873,20.0,-0.001131,0.004275,1.5e-05
9,-75.6846,66.0812,80.0,-75.8682,66.097,78.2538,3.0709,Success,162.5298,709,62,9.815,20.0,-0.001388,0.004247,3e-06
10,-74.827,70.5245,80.0,-75.0107,70.5391,78.1892,3.0719,Success,-24.716,948,282,6.6928,35.0,-0.001265,0.004252,3e-06
11,-70.3952,84.2738,70.0,-70.5796,84.2857,68.2724,3.0748,Success,58.2832,909,147,13.2276,10.0,-0.001013,0.004273,1.1e-05
12,-86.728,77.5595,70.0,-86.9121,77.5704,68.3081,3.0698,Success,-77.4624,823,552,7.3746,20.0,-0.000886,0.004265,1.7e-05
13,-70.644,81.7857,70.0,-70.8282,81.7979,68.3206,3.071,Success,14.1481,754,90,11.4164,20.0,-0.00105,0.004264,1.5e-05
14,-77.2198,66.3976,90.0,-77.4031,66.4114,88.1156,3.0704,Success,-42.1369,769,365,8.9726,20.0,-0.001315,0.004242,-1e-05
15,-71.5866,67.5253,80.0,-71.7712,67.5367,78.3239,3.0769,Success,-0.4976,1058,211,11.1092,20.0,-0.001098,0.004267,2e-06
16,-82.7536,69.1553,90.0,-82.9375,69.1715,88.2242,3.0708,Success,-12.0597,964,226,6.5269,35.0,-0.001451,0.004247,-4e-06
17,-88.1669,67.4256,90.0,-88.3511,67.4406,88.2463,3.0753,Success,92.2221,993,81,11.2644,20.0,-0.001349,0.004259,-3e-06
18,-78.902,77.1246,70.0,-79.0867,77.1362,68.3925,3.0766,Success,57.609,1059,158,2.3233,50.0,-0.000922,0.004279,1.8e-05
19,-84.4916,78.9052,70.0,-84.6756,78.9163,68.3411,3.0684,Success,13.0048,794,229,6.0991,35.0,-0.00087,0.004268,1.6e-05
20,-73.805,71.7022,70.0,-73.9891,71.7143,68.314,3.0721,Success,-1.9517,788,217,6.8503,35.0,-0.000982,0.004268,1.6e-05
1,-79.7998,72.3286,80.0,-79.9832,72.3428,78.2667,3.0641,Success,11.7625,366,262,2.6572,50.0,-0.001238,0.004258,8e-06
2,-70.1969,78.9676,70.0,-70.3813,78.9768,68.4182,3.0657,Success,237.6638,564,68,10.4084,20.0,-0.00079,0.004277,1.4e-05
3,-76.4009,83.1827,90.0,-76.5849,83.1978,88.162,3.0733,Success,-34.3035,838,286,8.8807,20.0,-0.001403,0.004254,-4e-06
4,-84.8144,82.8026,90.0,-84.9981,82.8181,88.088,3.0747,Success,10.1731,979,114,9.2792,20.0,-0.00137,0.004244,-5e-06
5,-84.9059,83.392,70.0,-85.0905,83.4023,68.3462,3.0771,Success,0.2129,1064,184,9.824,20.0,-0.000874,0.004283,1.1e-05
6,-87.6173,71.369,70.0,-87.8023,71.381,68.3666,3.0807,Success,-49.6137,1223,429,8.6007,20.0,-0.001105,0.004274,9e-06
7,-80.3059,71.5801,80.0,-80.4902,71.5922,78.3108,3.0741,Success,267.2051,884,113,3.4428,35.0,-0.001135,0.004263,5e-06
8,-84.9963,83.1698,90.0,-85.18,83.1853,88.2282,3.0645,Success,184.297,518,36,9.6866,20.0,-0.001417,0.004246,-1e-06
9,-72.2094,74.3413,90.0,-72.3935,74.3563,88.1951,3.077,Success,4.0674,1064,173,7.6337,20.0,-0.001398,0.004253,-6e-06
10,-75.9372,84.6674,90.0,-76.1209,84.6847,88.1869,3.0718,Success,135.7477,903,190,10.4327,20.0,-0.001515,0.004244,-5e-06
11,-83.8307,72.4642,80.0,-84.0152,72.4756,78.3607,3.0726,Success,-4.1018,1089,236,4.7429,35.0,-0.001055,0.004267,7e-06
12,-80.5689,69.1432,80.0,-80.7525,69.1574,78.225,3.0678,Success,222.3773,649,39,5.8909,35.0,-0.001264,0.004256,2e-06
13,-85.5165,68.5509,80.0,-85.7003,68.5653,78.2766,3.0705,Success,26.1051,903,231,8.5964,20.0,-0.001207,0.004255,1e-05
14,-81.259,72.2538,70.0,-81.4435,72.2653,68.3617,3.0739,Success,42.7807,899,204,3.0923,35.0,-0.000912,0.004276,1.8e-05
15,-76.1794,67.3202,80.0,-76.363,67.3343,78.2404,3.0667,Success,174.3481,528,44,8.4847,20.0,-0.001303,0.004251,3e-06
16,-76.1256,75.5922,80.0,-76.3097,75.606,78.2692,3.0741,Success,-8.452,954,288,3.7398,35.0,-0.001298,0.004255,2e-06
17,-71.555,71.5394,90.0,-71.7383,71.5569,88.1619,3.0691,Success,53.8763,624,197,8.9505,20.0,-0.001513,0.004239,-3e-06
18,-81.8168,79.9219,70.0,-82.0014,79.9327,68.3568,3.0736,Success,144.7139,1208,142,5.3232,35.0,-0.000892,0.004276,1.6e-05
19,-86.2169,70.9281,90.0,-86.4011,70.9414,88.2615,3.0703,Success,-18.6749,749,218,7.5793,20.0,-0.0013,0.004251,-5e-06
20,-71.7795,74.4788,70.0,-71.9638,74.4894,68.3447,3.0728,Success,390.1681,983,86,8.0524,20.0,-0.00094,0.004271,1.3e-05
1,-80.7568,69.4906,80.0,-80.9408,69.5041,78.2176,3.0742,Success,-22.345,403,134,5.5759,35.0,-0.001262,0.004272,3e-06
2,-72.7654,83.1002,70.0,-72.9502,83.1099,68.3827,3.074,Success,35.1292,884,218,10.7457,20.0,-0.000873,0.004275,1.3e-05
3,-75.108,72.0758,90.0,-75.2914,72.0913,88.0705,3.0708,Success,-22.723,753,474,5.5346,35.0,-0.001389,0.004241,-1e-05
4,-74.2399,82.7577,90.0,-74.4234,82.7733,88.1076,3.0683,Success,226.9175,729,123,9.5668,20.0,-0.001414,0.004239,-7e-06
5,-87.4952,72.9922,70.0,-87.6791,73.0066,68.2697,3.0729,Success,20.082,1079,127,7.9336,20.0,-0.001181,0.004264,1.2e-05
6,-72.9963,78.7529,80.0,-73.18,78.7676,78.2525,3.0698,Success,202.1906,703,72,7.7915,20.0,-0.00131,0.00425,4e-06
7,-89.7597,78.5319,80.0,-89.9441,78.5446,78.298,3.073,Success,3.9564,934,234,10.557,20.0,-0.001165,0.004265,6e-06
8,-74.9997,81.3252,90.0,-75.1834,81.3422,88.1895,3.0729,Success,39.1142,893,175,7.9638,20.0,-0.001501,0.004245,-5e-06
9,-85.4049,78.6774,80.0,-85.589,78.6903,78.2579,3.0724,Success,12.2252,1049,158,6.6974,35.0,-0.00114,0.004258,8e-06
10,-77.0596,75.7893,80.0,-77.2435,75.8053,78.2767,3.0716,Success,65.2108,909,122,2.8717,50.0,-0.001384,0.004251,5e-06
11,-74.8471,72.4054,80.0,-75.0308,72.4193,78.2598,3.0653,Success,119.8059,623,110,5.5993,35.0,-0.001278,0.004251,3e-06
12,-81.8721,75.427,80.0,-82.0559,75.4408,78.1964,3.0704,Success,214.8288,704,79,2.1026,50.0,-0.001195,0.004252,8e-06
13,-70.3751,81.992,70.0,-70.559,82.0049,68.3005,3.068,Success,187.4791,658,62,11.7559,20.0,-0.001132,0.00426,9e-06
14,-87.4966,74.4216,70.0,-87.6811,74.4299,68.4086,3.0704,Success,-51.8617,829,455,7.7022,20.0,-0.000897,0.004276,4e-06
15,-81.1487,78.4883,90.0,-81.3321,78.5047,88.1327,3.0681,Success,75.663,593,81,3.7493,35.0,-0.001465,0.004242,-5e-06
16,-74.4729,75.2876,70.0,-74.6572,75.2991,68.3423,3.0722,Success,136.6142,989,85,5.3512,35.0,-0.000976,0.004269,1.4e-05
17,-80.0638,72.3583,90.0,-80.2472,72.3739,88.1481,3.0682,Success,165.5592,614,72,2.6377,50.0,-0.001437,0.004239,-1e-05
18,-71.2103,81.6209,80.0,-71.3942,81.6349,78.2165,3.0699,Success,299.9825,698,62,10.8666,20.0,-0.001256,0.004254,5e-06
19,-73.6906,80.4593,80.0,-73.8745,80.4736,78.2207,3.0744,Success,-44.1077,919,196,8.2148,20.0,-0.001276,0.00425,6e-06
20,-87.7423,82.6368,70.0,-87.9262,82.6513,68.2638,3.0713,Success,-36.5752,948,267,11.0166,20.0,-0.001308,0.004251,9e-06
